feature_name,feature_type,formula
f0,informative,
f1,informative,
f2,informative,
f3,informative,
f4,informative,
f5,informative,
f6,informative,
f7,informative,
f8,informative,
f9,informative,
f10,informative,
f11,informative,
f12,informative,
f13,informative,
f14,informative,
f15,informative,
f16,informative,
f17,informative,
f18,informative,
f19,informative,
f20,informative,
f21,informative,
f22,informative,
f23,informative,
f24,informative,
f25,informative,
f26,informative,
f27,informative,
f28,informative,
f29,informative,
f30,informative,
f31,informative,
f32,informative,
f33,informative,
f34,informative,
f35,informative,
f36,informative,
f37,informative,
f38,informative,
f39,informative,
f40,informative,
f41,informative,
f42,informative,
f43,informative,
f44,informative,
f45,informative,
f46,informative,
f47,informative,
f48,informative,
f49,informative,
f50,informative,
f51,informative,
f52,informative,
f53,informative,
f54,informative,
f55,informative,
f56,informative,
f57,informative,
f58,informative,
f59,informative,
f60,informative,
f61,informative,
f62,informative,
f63,informative,
f64,informative,
f65,informative,
f66,informative,
f67,informative,
f68,informative,
f69,informative,
f70,informative,
f71,informative,
f72,informative,
f73,informative,
f74,informative,
f75,informative,
f76,informative,
f77,informative,
f78,informative,
f79,informative,
f80,informative,
f81,informative,
f82,informative,
f83,informative,
f84,informative,
f85,informative,
f86,informative,
f87,informative,
f88,informative,
f89,informative,
f90,informative,
f91,informative,
f92,informative,
f93,informative,
f94,informative,
f95,informative,
f96,informative,
f97,informative,
f98,informative,
f99,informative,
f100,informative,
f101,informative,
f102,informative,
f103,informative,
f104,informative,
f105,informative,
f106,informative,
f107,informative,
f108,informative,
f109,informative,
f110,informative,
f111,informative,
f112,informative,
f113,informative,
f114,informative,
f115,informative,
f116,informative,
f117,informative,
f118,informative,
f119,informative,
f120,informative,
f121,informative,
f122,informative,
f123,informative,
f124,informative,
f125,informative,
f126,informative,
f127,informative,
f128,informative,
f129,informative,
f130,informative,
f131,informative,
f132,informative,
f133,informative,
f134,informative,
f135,informative,
f136,informative,
f137,informative,
f138,informative,
f139,informative,
f140,informative,
f141,informative,
f142,informative,
f143,informative,
f144,informative,
f145,informative,
f146,informative,
f147,informative,
f148,informative,
